# LUNAR TRIGGER DEBUG LOG
# rmb_held = Right Mouse (aim); lmb_held = Left Mouse (fire). raw 0x8000 = key down. Aim only moves when rmb_held=1; trigger fires when locked and lmb_held=0.
# ---
[17:22:15.735] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:16.808] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:17.813] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:18.949] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:19.955] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:20.016] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:21.037] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:23.144] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:24.150] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:25.183] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:26.191] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:27.204] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:28.246] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:29.297] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:30.346] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:31.383] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:32.384] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:33.425] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:34.462] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:35.471] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:36.511] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:37.514] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:38.517] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:39.534] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:40.571] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:41.609] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:42.635] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:43.657] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:44.697] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:45.703] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
